City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Balugaon,IN,67.6,Clear,20.1667,85.1,Kridashpur Kalyan Mandap
75,East London,ZA,56.91,Rain,-33.0153,27.9116,Tu Casa
76,Eyl,SO,79.61,Clouds,7.9803,49.8164,Amiin Hotel
77,Sena Madureira,BR,92.8,Clouds,-9.0656,-68.6569,Hotel Central
78,Paamiut,GL,30.25,Clouds,61.994,-49.6678,Pistut
79,Sao Filipe,CV,80.19,Clouds,14.8961,-24.4956,Tortuga B&B - Fogo
80,Gambela,ET,69.53,Clouds,8.25,34.5833,Solomon Debebe Hotel
81,Andenes,NO,33.93,Drizzle,69.3143,16.1194,Hotell Marena
82,Mahebourg,MU,75.25,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
83,Toropets,RU,30.78,Clouds,56.4978,31.6353,Toropa
84,Garowe,SO,75.27,Clouds,8.4054,48.4845,Sacaada Hotel
85,Jaromer,CZ,53.38,Clouds,50.3562,15.9214,Grand Hotel Jaroměř
86,Lagoa,PT,62.02,Clouds,39.05,-27.9833,Casa Das Faias
87,Upata,VE,86.4,Clouds,8.0086,-62.3989,Posada Villa Nela
88,Pucallpa,PE,75.24,Drizzle,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
90,Tarsus,TR,66.07,Clear,36.9188,34.8784,Osmanli Marco Pasha Hotel
91,Nara,JP,53.49,Clouds,34.6851,135.8049,Guesthouse Nara Komachi
92,Victoria,HK,77.38,Clouds,22.2855,114.1577,Mini Central
93,Mattru,SL,75.24,Rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
94,York,US,79.79,Clouds,40.1254,-77.0,Rodeway Inn
95,Botwood,CA,54.9,Clouds,49.1499,-55.3482,Exploits Inn & Suites
96,Kutum,SD,78.78,Clouds,14.2,24.6667,جبل ديو فوقو
97,Yarmouth,US,77.14,Clear,41.7057,-70.2286,Blue Rock Resort
98,Muyezerskiy,RU,21.04,Clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
99,Nanortalik,GL,32.94,Clouds,60.1432,-45.2371,Hotel Kap Farvel
100,Pabna,BD,70.93,Clear,24.0,89.25,Hotel Dream Palace International
101,Clyde River,CA,12.43,Clouds,70.4692,-68.5914,Qamaq Hotel
102,Cruzilia,BR,70.16,Clouds,-21.8386,-44.8083,Pousada Cruzília
103,Thompson,CA,26.76,Clouds,55.7435,-97.8558,Burntwood Hotel
104,Arraial Do Cabo,BR,76.96,Clouds,-22.9661,-42.0278,Pousada Porto Praia
105,Saint-Augustin,CA,44.65,Rain,51.226,-58.6502,Riverview Inn
107,Tasiilaq,GL,37.56,Clouds,65.6145,-37.6368,The Red House
108,Itaqui,BR,74.28,Clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
109,Puerto Del Rosario,ES,73.15,Clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
110,Los Llanos De Aridane,ES,68.13,Clouds,28.6585,-17.9182,Valle Aridane
111,Coquimbo,CL,64.13,Clear,-29.9533,-71.3436,Hotel San Juan
113,Talcahuano,CL,55.08,Rain,-36.7167,-73.1167,departamento comodo
114,Vestmannaeyjar,IS,42.78,Clouds,63.4427,-20.2734,Glamping & Camping
115,Klaksvik,FO,45.52,Clouds,62.2266,-6.589,Airbnb rooms
117,Mindelo,CV,78.35,Clouds,16.8901,-24.9804,Hotel Gaudi
118,Killybegs,IE,50.32,Clouds,54.6333,-8.45,Tara Hotel
119,Qaanaaq,GL,14.45,Clouds,77.484,-69.3632,Qaanaaq Hotel
120,Miandoab,IR,58.64,Clouds,36.9694,46.1027,خانه معلم
123,Kralendijk,BQ,85.98,Clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
124,Kudahuvadhoo,MV,80.96,Clouds,2.6708,72.8944,Niyama Private Islands Maldives
125,Tiznit,MA,62.69,Clouds,29.5833,-9.5,Ferme Auberge Inoumar
126,Matagami,CA,26.71,Clouds,49.7502,-77.6328,Motel Le Caribou
127,Presidencia Roque Saenz Pena,AR,81.14,Clouds,-26.7852,-60.4388,Hotel Gualok
128,Oswego,US,57.15,Clear,43.4501,-76.1497,S & E Mobile Home Park
129,San Andres,CO,86.02,Rain,12.5847,-81.7006,Hotel Arena Blanca
130,Saint-Michel-Des-Saints,CA,42.94,Clouds,46.6834,-73.9159,Au Vieux Moulin à Scie
131,Longyearbyen,SJ,24.64,Snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
132,Bambous Virieux,MU,75.22,Clouds,-20.3428,57.7575,Casa Tia Villa
